Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
..........Printing..and..publishing,0.896083477,0.894295279,0.891230916,0.889583553,0.88640959,0.883559001,0.880107385,0.877412828,0.873637089,0.871416854,0.868129646,0.869204785,0.86773962,0.869102349,0.867782285,0.86555025,0.863933802,0.862987661,0.862408666,0.866587988,0.864293063,0.861218704,0.86359297,0.883976308,0.884172555,0.884365392,0.883264969,0.883116468,0.884081035,0.866645959,0.864795255,0.865342493
..........Chemicals..and..allied..products,0.952879238,0.952802247,0.952098488,0.951566152,0.951144485,0.950623059,0.950350878,0.949635307,0.949462692,0.949740975,0.949017367,0.949403701,0.9493508,0.949048137,0.948528649,0.946808964,0.94509956,0.943884501,0.943687293,0.942964175,0.942275871,0.943014523,0.939435644,0.944615289,0.942754591,0.939437171,0.938292394,0.938812895,0.937917192,0.935514092,0.934196215,0.936209517
..........Petroleum..and..coal..products,0.976341011,0.976135373,0.975753128,0.974716749,0.973891234,0.973006989,0.973698621,0.973425425,0.973138906,0.972213775,0.970697621,0.971255405,0.971706086,0.973322222,0.973049222,0.971808107,0.971713736,0.969982167,0.970725016,0.97064225,0.969921886,0.969737493,0.970871686,0.969805836,0.968111599,0.968264451,0.968128943,0.96731133,0.968015152,0.985376575,0.985986162,0.987711668
..........Rubber..and..miscellaneous..plastics..products,0.955449347,0.953484752,0.950915196,0.948659613,0.94678619,0.94490562,0.942846789,0.94029871,0.939294612,0.937649515,0.936631797,0.93593671,0.932359666,0.925947974,0.923185332,0.91852687,0.911872487,0.909921721,0.905371736,0.900480482,0.904484634,0.891900632,0.888184115,0.883178058,0.875746117,0.873999584,0.867339881,0.8622982,0.862356399,0.861301066,0.85804303,0.860395877
..........Leather..and..leather..products,0.978507386,0.978382006,0.978078654,0.977452742,0.977013378,0.976795298,0.977373922,0.977136971,0.977791902,0.978410611,0.979624225,0.980553824,0.980152057,0.981526911,0.981525243,0.982257141,0.983206991,0.984063781,0.983945704,0.98474288,0.986124029,0.986473767,0.983574708,0.984650273,0.984863209,0.984360605,0.984283889,0.98306039,0.983760408,0.987779125,0.988814974,0.990236638
......Transportation..and..public..utilities,0.846607189,0.847204889,0.845454741,0.842540882,0.840542497,0.836039594,0.835603003,0.833225659,0.835479126,0.835894223,0.83571941,0.838528983,0.838164008,0.841924204,0.838148674,0.836703419,0.8402437,0.840515817,0.841316967,0.84169583,0.842866251,0.845839076,0.84515415,0.845225318,0.843116883,0.84325328,0.844257046,0.844012603,0.839125419,0.832696436,0.837601474,0.840507204
........Railroad..transportation,0.847331126,0.848704443,0.850194295,0.849660084,0.851350422,0.85276671,0.854601569,0.855677926,0.85826033,0.858353875,0.859819459,0.857774718,0.857589387,0.856285379,0.857771004,0.859210878,0.861233742,0.860092045,0.852490347,0.862830808,0.868938671,0.870499255,0.872212591,0.874461536,0.87360243,0.872627072,0.874392428,0.870953509,0.867024356,0.855151803,0.848768732,0.850221452
........Trucking..and..warehousing,0.838947137,0.835448432,0.835679513,0.830442076,0.829801443,0.821565366,0.815891954,0.812035548,0.819560726,0.819263462,0.816079373,0.817579205,0.815548173,0.805089321,0.801511071,0.794713535,0.797781334,0.796389704,0.796674647,0.785961783,0.782621494,0.784215564,0.782187459,0.780583911,0.775676547,0.775272292,0.776184448,0.774397406,0.761515738,0.749563189,0.748707716,0.75079661
........Water..transportation,0.988168501,0.987291528,0.98620364,0.985610367,0.984758807,0.984281564,0.984323321,0.984165271,0.984268836,0.983822295,0.983771872,0.984098801,0.983519085,0.981821218,0.980591962,0.979962975,0.978752936,0.97882954,0.975543404,0.975164576,0.97602704,0.974880094,0.973369693,0.973203064,0.971618748,0.971300658,0.971749197,0.97127561,0.970812301,0.973689307,0.974279289,0.97523901
........Other..transportation,0.952047514,0.954034851,0.952964481,0.9526359,0.953567697,0.940828235,0.948628175,0.951018276,0.947844265,0.948453369,0.952227186,0.95659955,0.953947799,0.951272734,0.95157456,0.948672952,0.951050585,0.949756277,0.943115135,0.945959925,0.944984304,0.945244387,0.945088718,0.943813502,0.937414103,0.935217294,0.937958826,0.940511143,0.932741914,0.911385851,0.908189275,0.921553509
..........Local..and..interurban..passenger..transit,0.927359584,0.928607703,0.929042923,0.924949551,0.926296887,0.926769807,0.928265994,0.926651589,0.920617046,0.919708678,0.919806191,0.91707318,0.916967399,0.914838635,0.912889352,0.906513824,0.907556463,0.905765327,0.902530705,0.905761461,0.905807228,0.907759054,0.906527972,0.903997825,0.898922686,0.898831914,0.898555632,0.896155459,0.891657125,0.885144662,0.884978726,0.887066742
..........Transportation..by..air,0.986838113,0.987196557,0.986526334,0.986726003,0.986769496,0.985059188,0.985341309,0.984459299,0.985394847,0.984788802,0.98495902,0.983740134,0.984115274,0.984428931,0.983154138,0.983426076,0.983245896,0.982773173,0.981447659,0.971581202,0.971314497,0.967578805,0.96609989,0.964072105,0.963252445,0.960384832,0.959153602,0.963198571,0.963450199,0.958301964,0.958625836,0.959280943
"..........Pipelines,..except..natural..gas",0.987869054,0.988266598,0.988611927,0.989145561,0.989424485,0.989783014,0.990786214,0.991452842,0.992033752,0.992297671,0.992674327,0.993020917,0.992905071,0.992988191,0.993332049,0.992623495,0.992270165,0.992525275,0.992758139,0.992751602,0.992670573,0.99291685,0.991803654,0.991760732,0.991594312,0.992454198,0.991857704,0.99055363,0.990366701,0.994117284,0.991228064,0.995421248
..........Transportation..services,0.962191419,0.960599517,0.954083553,0.951277736,0.947899932,0.90205532,0.927359573,0.941293765,0.930387618,0.931442924,0.938178882,0.966388754,0.954038523,0.946792163,0.948347107,0.947499084,0.945810955,0.938861439,0.937371289,0.936284913,0.936978923,0.939119744,0.941417012,0.93678065,0.932842049,0.935475528,0.934156551,0.931571332,0.926784275,0.925267214,0.924286465,0.924321103
