Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
..........Transportation..services,0.136022514,0.136022514,0.136022514,0.136022514,0.136022514,0.136022514,0.136022514,0.136022514,0.136022514,0.136022514,0.137898687,0.137898687,0.137898687,0.115384615,0.11507192,0.143214509,0.1438399,0.139462164,0.131957473,0.133208255,0.1438399,0.133208255,0.114446529,0.12257661,0.114446529,0.114759225,0.134771732,0.145090682,0.138211382,0.354283927,0.356785491,0.36366479
........Communications,0.419637273,0.419637273,0.419637273,0.419637273,0.419637273,0.419637273,0.419637273,0.419637273,0.419637273,0.419637273,0.421826141,0.421826141,0.421826141,0.360537836,0.360537836,0.307692308,0.302689181,0.298936836,0.374296435,0.307692308,0.305816135,0.29111945,0.272357724,0.252657911,0.230456535,0.220137586,0.218886804,0.221388368,0.227329581,0.341150719,0.346779237,0.366479049
"........Electric,..gas,..and..sanitary..services",0.488117573,0.488117573,0.488117573,0.488117573,0.488117573,0.488117573,0.488117573,0.488117573,0.488117573,0.488117573,0.488430269,0.488430269,0.488430269,0.477485929,0.477485929,0.324577861,0.315196998,0.30206379,0.236397749,0.229831144,0.218261413,0.208567855,0.333646029,0.370856785,0.276422764,0.245778612,0.194809256,0.177923702,0.235146967,0.433083177,0.427454659,0.446841776
......Wholesale..trade,0.063477173,0.063477173,0.063477173,0.063477173,0.063477173,0.063477173,0.063477173,0.063477173,0.063477173,0.063477173,0.064727955,0.064727955,0.064727955,0.048780488,0.048467792,0.049405879,0.039086929,0.042526579,0.042213884,0.045966229,0.044402752,0.044090056,0.048155097,0.045028143,0.042839275,0.043464665,0.051907442,0.053470919,0.05753596,0.104752971,0.101000625,0.108818011
......Retail..trade,0.011569731,0.011569731,0.011569731,0.011569731,0.011569731,0.011569731,0.011569731,0.011569731,0.011569731,0.011569731,0.012820513,0.012820513,0.012820513,0.011257036,0.01094434,0.010318949,0.010318949,0.01094434,0.010318949,0.011257036,0.01094434,0.01094434,0.010318949,0.010318949,0.010631645,0.010318949,0.013133208,0.013758599,0.01438399,0.015009381,0.015009381,0.01438399
........Building..materials..and..garden..equipment,0.094434021,0.094434021,0.094434021,0.094434021,0.094434021,0.094434021,0.094434021,0.094434021,0.094434021,0.094434021,0.095684803,0.095684803,0.095684803,0.153533458,0.153533458,0.153533458,0.159161976,0.170731707,0.189493433,0.196998124,0.209505941,0.211694809,0.161350844,0.209193246,0.17260788,0.164477799,0.221388368,0.219512195,0.2123202,0.186053784,0.189493433,0.205440901
........General..merchandise..stores,0.149468418,0.149468418,0.149468418,0.149468418,0.149468418,0.149468418,0.149468418,0.149468418,0.149468418,0.149468418,0.151031895,0.151031895,0.151031895,0.213258286,0.213258286,0.229205754,0.219824891,0.23014384,0.242651657,0.266103815,0.26985616,0.267979987,0.196685428,0.244215134,0.208567855,0.194809256,0.263602251,0.265791119,0.258599124,0.369293308,0.376485303,0.388055034
........Food..stores,0.074108818,0.074108818,0.074108818,0.074108818,0.074108818,0.074108818,0.074108818,0.074108818,0.074108818,0.074108818,0.074421513,0.074421513,0.074421513,0.074421513,0.074108818,0.058786742,0.062539087,0.060037523,0.061288305,0.060037523,0.059724828,0.053470919,0.047217011,0.045653533,0.040337711,0.038148843,0.043464665,0.047842402,0.047529706,0.068792996,0.070981864,0.076923077
........Automotive..dealers..and..service..stations,0.017510944,0.017510944,0.017510944,0.017510944,0.017510944,0.017510944,0.017510944,0.017510944,0.017510944,0.017510944,0.020012508,0.020012508,0.020012508,0.028455285,0.028142589,0.026579112,0.024390244,0.025015635,0.030018762,0.029080675,0.028142589,0.029080675,0.02532833,0.026891807,0.024702939,0.023764853,0.027517198,0.030956848,0.030644153,0.05753596,0.060037523,0.061601001
........Apparel..and..accessory..stores,0.067542214,0.067542214,0.067542214,0.067542214,0.067542214,0.067542214,0.067542214,0.067542214,0.067542214,0.067542214,0.0684803,0.0684803,0.0684803,0.085678549,0.085678549,0.08974359,0.082238899,0.08286429,0.077548468,0.085991245,0.087554722,0.087242026,0.067542214,0.071607255,0.072232645,0.073796123,0.085365854,0.079111945,0.079737336,0.320825516,0.332395247,0.336772983
